fid;16.4.2022;22.4.2022;28.4.2022;2.5.2022;7.5.2022;12.5.2022;16.5.2022;20.5.2022;24.5.2022;29.5.2022;1.6.2022;5.6.2022;8.6.2022;11.6.2022;15.6.2022;16.6.2022;19.6.2022;24.6.2022;27.6.2022;30.6.2022;3.7.2022
1;-0.393198103;-0.381558508;-0.382386357;-0.451925457;-0.470685184;-0.509162962;-0.460257024;-0.434744701;-0.409232378;-0.478728861;-0.453080326;-0.473684222;-0.524573743;-0.473509014;-0.558590686;-0.579861104;-0.602347255;-0.604377568;-0.602577865;-0.575289547;-0.59349221
2;-0.384363025;-0.384826064;-0.376012534;-0.400168955;-0.371528655;-0.435923308;-0.402702063;-0.40567857;-0.408655077;-0.450214386;-0.46265173;-0.488479257;-0.528007329;-0.499877304;-0.598447436;-0.623089969;-0.644599319;-0.675147772;-0.65379554;-0.636280537;-0.676070035
3;-0.351689607;-0.346618354;-0.336391449;-0.367564529;-0.329645008;-0.403320551;-0.37067464;-0.371126801;-0.371578962;-0.406790793;-0.413951367;-0.442583144;-0.490336448;-0.458355159;-0.566874021;-0.594003737;-0.593901575;-0.594969869;-0.560756505;-0.579669058;-0.606160641
13;-0.348731533;-0.344623387;-0.336897209;-0.363507733;-0.330300242;-0.394736394;-0.377910241;-0.390538841;-0.403167441;-0.43457903;-0.445700884;-0.474162027;-0.527799368;-0.504583806;-0.580750102;-0.599791676;-0.672223687;-0.693050653;-0.689749658;-0.665183127;-0.689249933
14;-0.356862754;-0.357668072;-0.34468478;-0.368316352;-0.332464159;-0.399105132;-0.37747407;-0.389502347;-0.401530623;-0.429816902;-0.414184391;-0.438004762;-0.486180335;-0.449934632;-0.488582021;-0.498243868;-0.558312654;-0.567645371;-0.555608809;-0.539044023;-0.525702536
