fid;16.4.2022;22.4.2022;28.4.2022;2.5.2022;7.5.2022;12.5.2022;16.5.2022;20.5.2022;24.5.2022;29.5.2022;1.6.2022;5.6.2022;8.6.2022;11.6.2022;15.6.2022;16.6.2022;19.6.2022;24.6.2022;27.6.2022;30.6.2022;3.7.2022
1;0.328741461;0.28447938;0.29124856;0.394324809;0.436097354;0.476135939;0.39005971;0.357886613;0.325713515;0.442882955;0.39340964;0.42877692;0.515501559;0.379489213;0.551121241;0.594029248;0.627406001;0.635098159;0.62420845;0.587819278;0.624232829
2;0.326403916;0.284536749;0.284425706;0.317058742;0.295199662;0.349063694;0.321335077;0.327592626;0.333850175;0.400109738;0.429946542;0.46503976;0.535075724;0.416566879;0.641240841;0.697409332;0.688236177;0.796557546;0.722722173;0.724281907;0.821711242
3;0.277556002;0.236772999;0.230098441;0.271749556;0.237567574;0.307032257;0.281031281;0.282688678;0.284346074;0.337390482;0.355860591;0.400214404;0.475258917;0.36395368;0.58774659;0.643694818;0.603045583;0.629030287;0.566072464;0.598046005;0.650635898
13;0.277765796;0.238103285;0.231322341;0.2671455;0.233507179;0.302149758;0.296223357;0.310137652;0.324051946;0.375393167;0.393096358;0.445062086;0.540618718;0.436005473;0.616257954;0.661321074;0.793998778;0.863180727;0.847063035;0.801674306;0.875408798
14;0.293010056;0.249104694;0.239095971;0.268145859;0.230038121;0.303457797;0.295366943;0.310048208;0.324729472;0.368047595;0.344057709;0.383695096;0.455150276;0.352691472;0.442980659;0.465552956;0.545999587;0.573525488;0.540317237;0.52905798;0.506887853
