fid;16.4.2022;22.4.2022;28.4.2022;2.5.2022;7.5.2022;12.5.2022;16.5.2022;20.5.2022;24.5.2022;29.5.2022;1.6.2022;5.6.2022;8.6.2022;11.6.2022;15.6.2022;16.6.2022;19.6.2022;24.6.2022;27.6.2022;30.6.2022;3.7.2022
1;0.180453241;0.172716185;0.207388684;0.286117792;0.286117792;0.358764768;0.311807603;0.283715472;0.255623341;0.329287201;0.308423698;0.322586358;0.367002994;0.287036359;0.352449787;0.368803144;0.351367772;0.399834156;0.450015336;0.447609931;0.457314849
2;0.196111813;0.190464139;0.19340612;0.228069559;0.228069559;0.259426296;0.254483074;0.255421788;0.256360501;0.319111288;0.346350461;0.357463032;0.38741374;0.321586221;0.419210905;0.443617076;0.433425933;0.509636819;0.505541921;0.501797318;0.521358311
3;0.169418052;0.156986147;0.175856516;0.201478869;0.201478869;0.233378991;0.225097477;0.223218948;0.221340418;0.275982618;0.290403605;0.325078577;0.359300077;0.288257509;0.368725735;0.388842791;0.365974098;0.412289709;0.42828685;0.42846936;0.441769212
13;0.173203029;0.157694444;0.180381283;0.196458928;0.196458928;0.254635662;0.238488398;0.247809868;0.257131338;0.306383029;0.321929365;0.355625853;0.400469303;0.331724197;0.423234504;0.446112081;0.485710666;0.569558829;0.582113951;0.550278723;0.557446122
14;0.184468001;0.173054263;0.191177487;0.207895845;0.207895845;0.266851991;0.248385668;0.255141765;0.261897862;0.310471207;0.28488794;0.316736728;0.360768735;0.284835577;0.34051764;0.354438156;0.340475559;0.39102301;0.408896834;0.404709995;0.378838867
