fid;16.4.2022;22.4.2022;28.4.2022;2.5.2022;7.5.2022;12.5.2022;16.5.2022;20.5.2022;24.5.2022;29.5.2022;1.6.2022;5.6.2022;8.6.2022;11.6.2022;15.6.2022;16.6.2022;19.6.2022;24.6.2022;27.6.2022;30.6.2022;3.7.2022
1;0.395249069;0.378912061;0.416819423;0.555599689;0.642796397;0.704576969;0.584406734;0.543110759;0.501814783;0.615265012;0.579108894;0.615315139;0.690144718;0.593304038;0.81375916;0.868872941;0.863882065;0.91579479;0.902318418;0.862054408;0.852497399
2;0.392931223;0.394139588;0.39304927;0.444118321;0.431161344;0.517076373;0.470611274;0.482854054;0.495096833;0.572329104;0.612313986;0.644381583;0.698712111;0.639819264;0.870739579;0.928469658;0.928970754;1.020620465;0.944864929;0.940043509;0.965622783
3;0.342921585;0.325536549;0.336759001;0.389659286;0.351466089;0.46436283;0.417530328;0.422788382;0.428046435;0.487981528;0.525114059;0.578519821;0.641744375;0.571811557;0.819333815;0.88121438;0.831151426;0.875013053;0.80066365;0.845788896;0.855907202
13;0.343140557;0.318936914;0.335053712;0.375526235;0.347710803;0.459468558;0.431718722;0.462341488;0.492964253;0.537290633;0.577765971;0.626889408;0.708175093;0.649244398;0.84511053;0.894077063;0.982366681;1.072166026;1.031820178;0.98704356;0.987779528
14;0.359051764;0.341879964;0.350120932;0.385049641;0.357501596;0.471881419;0.442682266;0.467862964;0.493043661;0.538899362;0.52136445;0.557681799;0.633668363;0.552862346;0.65766691;0.683868051;0.752714753;0.820118845;0.775198638;0.758888185;0.694015443
